date,time,DOY,UNNAMED_1_1_1,LOGGERTEMP_1_1_1,VIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TW_1_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[OTHER],[C],[V],[W/m^2],[%],[W/m^2],[K],[K],[K],[C]
2015-11-12,16:26,316.684,3.0113199999999999E-308,31.095000000000002,11.935073333333333,499.81601666666671,72.799376666666660,5069.1716666666662,302.51843166666669,304.08628666666669,303.91719333333333,40.914716666666664
2015-11-12,16:56,316.705,3.0113199999999999E-308,30.948333333333334,11.935428333333334,290.78190166666684,73.198716666666670,2743.3103166666683,302.43801333333334,304.17942166666671,303.97221833333333,40.864186666666669
2015-11-12,17:26,316.726,3.0113199999999999E-308,30.631666666666668,11.935900000000000,62.256596666666695,75.535241666666664,273.71173315000027,302.10636333333338,304.10973833333338,304.00388833333335,40.264618333333331
2015-11-12,17:56,316.747,3.0113199999999999E-308,30.203333333333333,11.936280000000000,23.421239999999997,79.743944999999997,-155.73330018333343,301.56514333333337,303.88113166666670,303.94431333333335,39.580918333333337
2015-11-12,18:26,316.767,3.0113199999999999E-308,29.696666666666665,11.936396666666667,13.438323333333335,83.497900000000001,-379.63136666666674,300.99032333333338,302.01734000000005,303.86386000000005,39.179858333333335
2015-11-12,18:56,316.788,3.0113199999999999E-308,29.056666666666665,11.936470000000000,9.8799655000000008,86.906525000000002,-553.60996666666665,300.38715000000002,299.84542666666670,303.84551500000003,38.678780000000003
2015-11-12,19:26,316.809,3.0113199999999999E-308,28.283333333333331,11.936451666666667,4.5417784566666688,89.338229999999996,-645.39229999999998,299.80745833333333,299.25469000000004,303.81708166666670,38.200571666666669
2015-11-12,19:56,316.830,3.0113199999999999E-308,27.703333333333333,11.936948333333333,0.14763019333333338,89.304441666666662,-718.19773333333330,299.61552833333337,299.05126000000001,303.79833500000001,38.150240000000004
2015-11-12,20:26,316.851,3.0113199999999999E-308,27.419999999999998,11.936601666666666,-0.10294405333333338,87.601405000000000,-791.70833333333337,299.74428166666667,298.92035166666670,303.78991333333335,38.160031666666669
2015-11-12,20:56,316.872,3.0113199999999999E-308,27.028333333333332,11.935483333333334,-0.20357092166666668,88.740453333333335,-742.51703333333342,299.21387333333337,300.66238000000004,303.67775166666667,37.681526666666663
2015-11-12,21:26,316.892,3.0113199999999999E-308,26.428333333333335,11.935313333333333,-0.21979036499999996,92.195189999999997,-627.00128333333328,298.28207833333335,302.98108999999999,303.52960166666668,37.214534999999998
2015-11-12,21:56,316.913,3.0113199999999999E-308,25.879999999999999,11.935778333333333,-0.14961634333333335,94.003331666666668,-614.24423333333334,297.86523000000005,303.42806666666667,303.42754000000002,37.041494999999998
2015-11-12,22:26,316.934,3.0113199999999999E-308,25.565000000000001,11.935824999999999,1.6550471666666657E-002,95.008806666666672,-659.06295000000000,297.91361333333333,303.32133666666670,303.34819666666669,36.995761666666667
2015-11-12,22:56,316.955,3.0113199999999999E-308,25.500000000000000,11.935151666666666,2.8135801666666672E-002,95.218896666666666,-707.42006666666668,298.26592666666670,303.28495166666670,303.31772166666667,37.111688333333333
2015-11-12,23:26,316.976,3.0113199999999999E-308,25.510000000000002,11.935040000000001,3.2438914999999999E-002,95.199624999999997,-707.34720000000004,298.46771833333338,303.28114833333336,303.31095166666671,37.167051666666666
2015-11-12,23:56,316.997,3.0113199999999999E-308,25.605000000000000,11.935314999999999,-0.11221224833333331,95.420535000000001,-691.24693333333335,298.63397333333336,303.26080833333333,303.29602166666672,37.181541666666668
2015-11-13,00:26,317.018,3.0113199999999999E-308,25.765000000000001,11.935788333333333,-0.17940719666666666,95.804853333333327,-692.51143333333334,298.89364833333337,303.24616000000003,303.27472333333338,37.362241666666669
2015-11-13,00:56,317.038,3.0113199999999999E-308,25.965000000000000,11.934918333333334,-1.6881541666666642E-002,95.876350000000002,-712.05095000000006,299.06716333333338,303.23883333333333,303.26381000000003,37.537741666666669
2015-11-13,01:26,317.059,3.0113199999999999E-308,26.115000000000002,11.934763333333333,2.3170633333332966E-003,95.591568333333328,-731.70298333333335,299.10774000000004,303.22166500000003,303.25407666666666,37.601239999999997
2015-11-13,01:56,317.080,3.0113199999999999E-308,26.230000000000000,11.935126666666667,-0.13041772166666663,95.612288333333339,-742.57005000000004,299.04771666666670,303.20111500000002,303.23712333333333,37.597731666666668
2015-11-13,02:26,317.101,3.0113199999999999E-308,26.320000000000000,11.935404999999999,-0.10956416666666675,95.855106666666671,-740.43171666666672,298.89335333333338,303.17822833333338,303.21428333333336,37.516638333333333
2015-11-13,02:56,317.122,3.0113199999999999E-308,26.215000000000000,11.936438333333333,-2.1846643333333346E-002,95.833403333333337,-737.89943333333338,298.71029666666669,303.15029500000003,303.18911166666669,37.345725000000002
2015-11-13,03:26,317.143,3.0113199999999999E-308,26.100000000000001,11.936518333333334,-6.9512116666666764E-003,95.468249999999998,-751.90446666666662,298.48625000000004,303.12823000000003,303.16601666666668,37.145800000000001
2015-11-13,03:56,317.163,3.0113199999999999E-308,25.965000000000000,11.936001666666666,2.8135781666666675E-002,95.078998333333331,-772.78449999999998,298.29734666666667,303.11028333333337,303.14517333333333,36.979756666666667
2015-11-13,04:26,317.184,3.0113199999999999E-308,25.810000000000002,11.935788333333333,4.6010310000000006E-002,94.717911666666666,-780.80481666666662,298.21672000000001,303.09292833333336,303.12810000000002,36.826273333333333
