file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7500,,,,RSSI_LI-7500,variances,,,,,,covariances,,,custom_variables,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--
2015-11-13T000000_AIU-1552.ghg,2015-11-13,00:30,317.020,0,18000,18000,3.4518690891349393E-004,1,0.86725156232829992,1,3.0800214102356911,1,0.17272598813344944,2,7.0100988385555854E-002,1,-9999.0,-9999.0,-9999.0,-9999.0,-2.2251136126864614E-012,-1.6200935118148093E-013,17.882790442625666,440.40308954362195,454.29158397554221,0.0000000000000000,1,1302.0365613719387,32.065517189092674,33.127776475091132,-0.20000000000000001,0,301.67490282185872,299.26973542955187,101031.72083333334,1.1618620302538949,1023.6687059377706,2.4627201831648772E-002,4.5425440473840194E-003,2.3462699237928805E-002,3240.5033786532240,3375.4739550623622,2.0194049402579788E-002,96.001433333333338,134.97057640913818,298.55099671969862,-4.7068739263815759E-003,-8.9422689148501058E-002,-2.2337753299864135E-003,8.9574336441468630E-002,3.1761662312837208E-015,-1.2442765125640852E-016,8.9574336441468630E-002,0.51223310825543766,183.01305369654631,266.98694630345375,-1.4289714337582033,-9999.0,1.7236531558940851E-002,9.1292990393689235E-003,-0.52101898776900579,-7.6772633894360167,0.28157322525298145,4.2303979787262989E-002,1,3.9579219143671232,2.0000000000000000,3.0000000000000000,5.0000000000000000,8.0000000000000000,12.000000000000000,26.000000000000000,3.1277089480409673E-004,1.1036414022145535,0.97882361982532218,1.0754377430205202,2.5130013727549128,1.1308603667024288,8.6903615880378676E-002,1.1308603667024288,5.7195667360928355E-002,1.1308603667024288,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,4,2,0,2,10,1,0,0,0,0,87,1.0820630025694668E-002,7.3516520856801056E-003,8.6315967363070889E-005,5.1799705197661090E-002,4.2965642766459554E-002,152.41764032333512,8.2298222375396782E-004,8.6903615880378683E-005,5.7195667360928355E-002,0.0000000000000000,440.37288450368260,30.569683346112559,24.514145451651668,86.755276294707770
2015-11-13T003000_AIU-1552.ghg,2015-11-13,01:00,317.041,0,18000,18000,7.7955972405493773E-004,1,2.0135444659596584,1,3.4248642688931592,1,-0.16475290143217780,1,7.7954246281242950E-002,1,0.16278859834044740,0.13071519512801039,-0.46353027398688229,2.9752433129277768E-003,-6.9927111173836467E-012,-5.1567543319414340E-013,17.670549736359920,435.26508611781543,449.06354744750990,0.10000000000000001,0,1303.1095146234861,32.098496287098392,33.162978013741601,0.0000000000000000,1,301.71214964463974,299.33133931986492,101031.88066666666,1.1616100872347785,1023.6888757662105,2.4632232308097888E-002,5.0514351590245426E-003,2.3482033855852968E-002,3243.8413392184057,3387.7790363975050,2.0215073985585065E-002,95.751266666666666,143.93769717909936,298.56831736174479,-4.1555983918050800E-002,-3.9524033539076200E-002,-9.7801379693449150E-004,5.7358569870438192E-002,1.5236357472840300E-015,-3.9572685749527359E-016,5.7358569870438192E-002,0.52360487873435657,226.43559190662393,223.56440809337604,-0.97699051076429255,-9999.0,2.5905650929329300E-002,7.7147631143045271E-003,-0.76185947539849630,-5.2503120708812743,0.58791949340824290,6.5363960200428825E-002,1,1.2086913869482636,1.0000000000000000,1.0000000000000000,2.0000000000000000,2.0000000000000000,4.0000000000000000,8.0000000000000000,6.8423948852941051E-004,1.1393082935484951,2.0171697418231056,1.1002968347866806,2.5751267789018644,1.1615135463660875,-0.25712236280093642,1.1615135463660875,5.8613145329936021E-002,1.1615135463660875,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,17,14,0,0,0,1,0,0,0,0,93,1.0128734066766433E-002,5.1733247610279403E-003,1.2746740081468128E-004,6.0810947961601830E-002,4.9293509095777871E-002,141.27487114859895,1.6963446223425837E-003,-2.5712236280093641E-004,5.8613145329936021E-002,0.0000000000000000,435.23422732883012,30.725020922978711,24.598971285290187,92.203432538774479
2015-11-13T010000_AIU-1552.ghg,2015-11-13,01:30,317.062,0,18000,18000,7.1957620221346362E-004,1,1.5800789603646721,1,4.4068888245428823,1,0.43771100673391983,2,0.10031003987855237,1,9.9455573866449376E-002,-0.10172435183492261,-0.65397474486119689,-2.3154597711548611E-003,7.1544208366631297E-012,5.3611107081088327E-013,17.368425995402870,428.01288447059238,441.49778399215955,0.0000000000000000,1,1301.4897601463877,32.072819177548830,33.135570333190188,0.40000000000000002,0,301.72809490288626,299.36899303690592,100999.78666666665,1.1611064422737909,1023.6741865742561,2.4643159062535672E-002,6.5000905841301930E-003,2.3452845879675551E-002,3240.2168155124523,3395.3194205588261,2.0198704464810237E-002,95.431870000000004,155.10260504637381,298.54950902014349,-3.8129183097385935E-003,-6.8026912047509047E-002,-1.0661498288095424E-003,6.8142026563741548E-002,3.3909221409644739E-015,4.1192108246059743E-016,6.8142026563741548E-002,0.51514539062277176,183.20808005946435,266.79191994053565,-0.89648607694588911,-9999.0,2.4894440994390407E-002,1.1612734600875136E-002,-0.86135153953250243,-4.6438646898698241,0.35854749762800531,5.3400168185644983E-002,1,1.8011832217846786,1.0000000000000000,1.0000000000000000,2.0000000000000000,4.0000000000000000,6.0000000000000000,13.000000000000000,6.3981919086600369E-004,1.1246555472015582,1.6926389092321643,1.0900360109225753,3.4921654917268401,1.1487480997670148,0.27651256960114345,1.1487480997670148,7.9489016783617084E-002,1.1487480997670148,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,15,10,0,10,2,6,0,0,0,0,97,1.5890768409406095E-002,7.1905370878786604E-003,1.4416370446551665E-004,6.2906680731707812E-002,4.5956763081560964E-002,207.47599663892078,1.4240673624540796E-003,2.7651256960114346E-004,7.9489016783617084E-002,0.0000000000000000,427.98271199289957,30.541383655866014,24.493112179968104,96.417592830234256
2015-11-13T013000_AIU-1552.ghg,2015-11-13,02:00,317.083,0,18000,18000,3.2660034364222386E-004,1,1.5829678423548910,1,3.2140745484756601,1,-0.12708650769982016,2,7.3150049380017984E-002,1,-0.33554628351239907,-0.41926697620014203,-0.46391513998374106,-9.5422180008229128E-003,-2.0213414883385826E-012,-1.5280460020117051E-013,17.159654713657464,422.86833110217185,436.50653706054067,0.50000000000000000,0,1297.1950525122511,31.967001441658475,33.022636097391143,0.10000000000000001,0,301.60250086127382,299.24195290120440,100956.87138888889,1.1611528387433332,1023.6102109038379,2.4643172497265265E-002,4.7401231998251648E-003,2.3375455246782410E-002,3228.1541391978649,3369.9372859679070,2.0131247555731493E-002,95.792706666666660,141.78314677004209,298.48678083537834,-1.8798724448263127E-002,-8.4901623412348540E-002,-3.0329264656507710E-003,8.7010782905802053E-002,6.3454240373359589E-015,-1.1779616327185103E-016,8.7010782905802053E-002,0.47005987751140410,192.48487517338032,257.51512482661968,-1.9975581051488180,-9999.0,1.6771180171108097E-002,7.8971234618627362E-003,-0.26280252440497809,-15.220553946567154,0.49251124032130666,7.9411695759373402E-002,1,2.9962358729066976,1.0000000000000000,2.0000000000000000,4.0000000000000000,6.0000000000000000,9.0000000000000000,20.000000000000000,2.9536800185919672E-004,1.1057404376453606,1.6498022680609254,1.0768898993587128,2.5230207607460939,1.1326260326804996,-0.20695020541843456,1.1326260326804996,5.7422156969855656E-002,1.1326260326804996,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,10,5,0,2,0,0,0,0,0,0,100,8.7218183314662859E-003,6.9850009029578707E-003,8.7427689301314434E-005,8.2199565227086283E-002,7.8798043144280544E-002,359.20377723058800,1.3880589111198236E-003,-2.0695020541843456E-004,5.7422156969855656E-002,0.0000000000000000,422.83736365593757,31.241754519780507,24.864752217716664,99.250310716840929
2015-11-13T020000_AIU-1552.ghg,2015-11-13,02:30,317.104,0,18000,18000,1.5357329293907621E-004,1,1.3623469678962181,1,2.8603377616998449,1,0.42502438718472130,1,6.5093865031179698E-002,1,-0.22490079420505729,-0.45286748419695594,0.23062486353306128,-1.0306088773169153E-002,-1.2253505989864313E-012,-9.1745231674307404E-014,17.265748921712259,425.42548414553193,439.21970961096150,0.0000000000000000,1,1292.7321667473680,31.852728219475427,32.900705448350756,0.40000000000000002,0,301.32379256778296,299.15681344095867,100941.75194444445,1.1613601495040744,1023.5420527098810,2.4639851191774548E-002,4.2180824540204442E-003,2.3295034043921293E-002,3216.1326528763134,3353.0194483193195,2.0058406562226860E-002,95.917506666666668,136.88679544300612,298.42406276541999,7.3500141237847361E-003,-8.7100262183727808E-002,-2.3635763689687748E-003,8.7441779907246137E-002,-1.3315953217046474E-015,-7.0970023052142945E-017,8.7441779907246137E-002,0.67820266998104806,175.17648482669995,274.82351517330005,-1.5489099934769663,-9999.0,1.1499379015960771E-002,1.0373805840526830E-002,-9.8421464007368023E-002,-40.641541358301197,0.47628884467357485,9.9664554725228172E-002,1,3.1649892717904757,2.0000000000000000,2.0000000000000000,4.0000000000000000,6.0000000000000000,9.0000000000000000,19.000000000000000,1.3893237731872683E-004,1.1053815957295645,1.4253023920463888,1.0766410950396774,2.2534106018957023,1.1323233179817349,0.29247906275295915,1.1323233179817349,5.1281777817895592E-002,1.1323233179817349,800000099,800000099,800000099,800000099,800000099,810000099,899999999,899999999,89999,89999,89,89,11,2,0,2,0,0,0,0,0,0,100,1.4773554047796946E-002,5.8407361788581262E-003,1.3332145439858762E-004,5.5868650370297132E-002,7.6850648694814200E-002,132.27840109335961,1.1990420218113437E-003,2.9247906275295914E-004,5.1281777817895592E-002,0.0000000000000000,425.39484184943325,31.404012104246345,24.950111887825855,99.761214572906496
2015-11-13T023000_AIU-1552.ghg,2015-11-13,03:00,317.124,0,18000,18000,5.8743493648951036E-004,1,1.4389530265318629,1,2.6692980069258683,1,-6.7357714177499292E-002,1,6.0736925519835637E-002,1,-0.41927920285079290,-1.3306652647027888,-0.27183934761901435,-3.0277817188034267E-002,-1.3750546585720048E-012,-1.0259574757337106E-013,17.143062455797995,422.41128503141994,435.99962363211279,-0.20000000000000001,0,1279.0802877436931,31.517002834078593,32.542649614197686,0.0000000000000000,0,301.16814180670843,298.99807545301650,100886.09411111110,1.1614852442537131,1023.3431027354807,2.4640363186016114E-002,3.9357527736853491E-003,2.3049027180060022E-002,3180.4802153868723,3321.6746392786913,1.9844442530881801E-002,95.749300000000005,141.19442389181904,298.23684600338038,-1.1037395391858777E-002,-7.5753162075282779E-002,-1.3327345722339273E-003,7.6564625270943890E-002,-6.8890487072534865E-015,-8.0210561101172699E-017,7.6564625270943890E-002,0.50677200508008791,188.28978273875248,261.71021726124752,-0.99737865281693017,-9999.0,2.2489149809034072E-002,8.4987230588657852E-003,-0.69667019943103015,-5.7415976788827709,0.53907545084823694,5.3831764566734358E-002,1,2.3803328372178711,1.0000000000000000,2.0000000000000000,3.0000000000000000,5.0000000000000000,8.0000000000000000,17.000000000000000,5.2667632755915917E-004,1.1153623311910226,1.4761134413544881,1.0835616460864301,2.0666157508669989,1.1407766510965580,-0.14238550634745001,1.1407766510965580,4.7023556984963522E-002,1.1407766510965580,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,7,1,0,2,4,7,0,0,0,0,100,1.0068584339325426E-002,6.7774195355002481E-003,1.5144224290589432E-004,4.7044183023217445E-002,4.4716738637101697E-002,135.70584869799848,1.2418946932515379E-003,-1.4238550634745000E-004,4.7023556984963522E-002,0.0000000000000000,422.38105893198593,31.163749500486595,24.812128869268648,99.800377518971757
2015-11-13T030000_AIU-1552.ghg,2015-11-13,03:30,317.145,0,18000,18000,1.0520280015637203E-004,1,0.47895208721240395,1,1.1229718033597893,1,8.5380865881701476E-002,2,2.5546565461391384E-002,1,-0.57650119402139854,-2.2945590723362517,-0.55529582483079132,-5.2199087609403561E-002,-2.5179556777094134E-012,-1.8714814543066781E-013,16.900736320601624,416.25678719062455,429.36702377085589,0.0000000000000000,1,1256.1545410881311,30.938465849613678,31.926213928962341,0.40000000000000002,0,300.84543794589564,298.77988531155057,100856.91377777778,1.1622545156581949,1023.0017080292456,2.4629506034196672E-002,1.6554174418981615E-003,2.2635905218248428E-002,3121.1951856619885,3279.0072464175732,1.9475859128350658E-002,95.187200000000004,157.81206075558475,297.92143110294114,9.8953013232727510E-003,-0.12055093010400743,-3.9940880521214294E-003,0.12102229743559641,-3.0798141188400399E-015,-1.4898496905369035E-016,0.12102229743559641,0.49697664569957245,175.30745406260240,274.69254593739760,-1.8912709161726902,-9999.0,9.5139974052066562E-003,8.4635544374763137E-003,-0.15842119536156704,-25.249146686911057,0.42650410792100035,4.2340057213204392E-002,1,7.1446065921534396,3.0000000000000000,6.0000000000000000,9.0000000000000000,13.000000000000000,20.000000000000000,43.000000000000000,9.7077617759007285E-005,1.0836977934247964,0.51475708360876415,1.0617274964493144,0.90976150633239650,1.1143316283852427,4.6627854116861406E-002,1.1143316283852427,2.0696229243013613E-002,1.1143316283852427,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,7,5,0,16,2,7,0,0,0,0,100,1.1743639246822939E-002,5.0961087501004984E-003,8.7360878029190577E-005,4.8536528717918866E-002,0.22053454770530637,221.60990614552017,4.3293702716372628E-004,4.6627854116861404E-005,2.0696229243013613E-002,0.0000000000000000,416.22794480557047,30.531787903838620,24.464125946733674,99.860295206705729
2015-11-13T033000_AIU-1552.ghg,2015-11-13,04:00,317.166,0,18000,18000,4.6462497007757108E-004,1,1.0205048935699732,1,2.0473473808776737,1,0.10123401607311866,2,4.6568838932141234E-002,1,-0.37447669583701976,-1.2562648869865660,0.10373643747834656,-2.8574924668183337E-002,-7.6153154089185407E-012,-5.5867505315211538E-013,16.948731715520250,417.40643755341250,430.42626603622256,0.0000000000000000,1,1243.3934884614187,30.621786644987314,31.589101367365661,-0.10000000000000001,0,300.74159357621932,298.63815824381516,100816.90972222222,1.1624857120550491,1022.8145191475456,2.4627591288803406E-002,3.0176607628027517E-003,2.2405951045975068E-002,3088.0220068038025,3251.5490184233149,1.9274173276818771E-002,94.970796666666672,163.52701161951245,297.74264767014057,2.1786297578144063E-002,-8.4804244065258605E-002,-1.4166067400111500E-003,8.7569454425037996E-002,2.3608784050878129E-015,-4.4931476506558089E-016,8.7569454425037996E-002,0.45866898277301515,165.59222400086264,284.40777599913736,-0.92691142670570603,-9999.0,1.9992056072164394E-002,9.6733433861229869E-003,-0.68964197593020615,-5.8001109845506447,0.49845224269293020,4.2931209333113812E-002,1,3.4609389603861316,2.0000000000000000,3.0000000000000000,4.0000000000000000,7.0000000000000000,11.000000000000000,24.000000000000000,4.2037017389904028E-004,1.1052757757955478,1.0621537478090732,1.0765677332507479,1.6140983047660165,1.1322340811696288,2.9218095596862708E-002,1.1322340811696288,3.6714181812696457E-002,1.1322340811696288,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,17,3,0,4,0,2,0,0,0,0,100,1.5001372533485390E-002,4.2230593770458975E-003,1.2225486171468528E-004,3.5244658040751380E-002,0.14540650806030489,84.235059782334687,8.9331140308382493E-004,2.9218095596862709E-005,3.6714181812696457E-002,0.0000000000000000,417.37715259467234,30.246517944018059,24.301466833114631,99.876827173868818
2015-11-13T040000_AIU-1552.ghg,2015-11-13,04:30,317.187,0,18000,18000,4.1791592747109167E-004,1,0.62871323372805965,1,0.90680371617479061,1,-0.21403102720186074,1,2.0625211487475526E-002,1,-0.11745074619610177,-0.94722467100137997,-0.49610425233011207,-2.1544584364927875E-002,1.6711062865062188E-012,1.2326346574497184E-013,16.725442186249609,411.90838998581597,424.66319533196042,0.0000000000000000,1,1233.6952991210073,30.383019996432868,31.335074181890970,-0.20000000000000001,0,300.69333850012885,298.59370487467447,100801.64930555556,1.1625889730620502,1022.6744661070488,2.4627653212329167E-002,1.3365137043884140E-003,2.2231189671066517E-002,3063.4800522529426,3242.9780209165342,1.9122140486601692E-002,94.465026666666660,179.49796866359156,297.60929775361677,1.0126330514553906E-002,-0.10892201152889870,-2.9439346312301797E-003,0.10943132054539047,-4.6648060200270312E-015,9.9914027258428821E-017,0.10943132054539047,0.54244249146988721,174.68855715325424,275.31144284674576,-1.5415639783737642,-9999.0,1.8959695662889593E-002,1.1142145987166799E-002,-0.95464331279752290,-4.1900466345678877,0.69332891177397016,2.7890585272795022E-002,1,5.7895024172486327,3.0000000000000000,5.0000000000000000,7.0000000000000000,11.000000000000000,18.000000000000000,39.000000000000000,3.8340759600536973E-004,1.0900042978419202,0.64098082236658704,1.0660471628353341,0.69958123115006177,1.1195120404618186,-0.22523061908964115,1.1195120404618186,1.5911944986292122E-002,1.1195120404618186,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,10,3,0,1,6,3,0,0,0,0,100,1.7237645808526620E-002,4.9375429329205746E-003,1.0910323288640328E-004,2.3839154030702522E-002,0.13978876034534332,52.685770159483290,5.3911501026965617E-004,-2.2523061908964116E-004,1.5911944986292122E-002,0.0000000000000000,411.87748018052918,30.032973235978012,24.180930411020917,99.887807491302496
