file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7500,,,,RSSI_LI-7500,variances,,,,,,covariances,,,custom_variables,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--
2015-11-02T134910_AIU-1552.ghg,2015-11-02,14:19,306.596,1,17897,17897,1.2591827535599514E-003,1,1.7277704605239486,1,9.7392384578135598,1,4.2837297351758272E-002,1,0.22218895818611389,1,-9999.0,-9999.0,-9999.0,-9999.0,1.6195707761273081E-011,1.2221886619462552E-012,16.003548870008864,397.76808678537139,409.92575425802727,0.10000000000000001,0,1207.6876335468128,30.017067047579324,30.945974437110753,0.0000000000000000,0,303.36771376921479,301.69985504926251,100918.66240151980,1.1521164665702823,1022.5152945431581,2.4854992477999729E-002,1.4397844490460179E-002,2.1762531529389610E-002,3030.0948285559343,3891.5164303298566,1.8889176711599440E-002,77.864114999999998,861.42160177392225,297.42639029027913,-0.68758267234168269,0.45164207385090294,3.7297889933620251E-002,0.82349354992642165,2.7964765737431840E-014,1.0120072674395570E-015,0.82349354992642165,1.7025799871455241,303.29910806414222,146.70089193585778,2.5959438224759115,-9999.0,3.3059493191105967E-002,5.3263689680148163E-002,-1.8431263961169444,-2.1702255517728499,0.17740303495062279,4.4363280853062848E-002,1,46.036309351205809,21.000000000000000,36.000000000000000,58.000000000000000,85.000000000000000,132.00000000000000,282.00000000000000,1.2357356557851750E-003,1.0189742018570132,2.2787082261049734,1.0188376471849183,8.6247795914930716,1.0654768628548514,-0.11577514608737131,1.0654768628548514,0.19676392567236875,1.0654768628548514,800000099,800000099,800000099,800000099,800001099,800011199,899999999,899999999,89999,89999,89,89,8,2,0,19,22,18,0,0,0,0,100,7.3608736182756582E-002,3.2568872018896293E-002,3.4977115864345744E-004,3.1320456615256044E-002,1.0289053402440412E-003,406.36662200060800,1.9342941730351938E-003,-1.1577514608737131E-004,0.19676392567236875,0.0000000000000000,397.74013628631690,29.656053681689855,23.988081240458168,100.61230110150979
2015-11-02T140000_AIU-1552.ghg,2015-11-02,14:49,306.617,1,18000,18000,2.1857391649262167E-003,1,1.6803525723573509,1,11.167583168427532,1,-1.4586120665244451E-002,1,0.25476274857431436,1,-0.12828218385425538,-0.51887404166584139,-0.19866421098664105,-1.1836918966708375E-002,-5.8411638910909796E-012,-4.4131738878130922E-013,15.907747940047798,395.54518867926578,407.64057449492083,0.10000000000000001,0,1201.8778985127776,29.884621124770455,30.805223559510271,0.10000000000000001,0,303.55929945627850,301.65083231268989,100861.89950000000,1.1517139147354936,1022.4373205672510,2.4864939410026717E-002,1.6508626107615571E-002,2.1657840102282527E-002,3015.0281849958146,3880.4640987332891,1.8804878386188932E-002,77.697618333333338,865.43591373747449,297.34326719618878,-0.95707661908451147,0.61571121130600814,5.3007469740102932E-002,1.1392566622032150,1.0686581491125289E-015,-3.6718986955946376E-016,1.1392566622032150,1.9391788452266987,302.75418539590993,147.24581460409007,2.6668276684811461,-9999.0,4.3563910801712527E-002,5.3361766193842274E-002,-4.3345815063104558,-0.92281111663874382,0.15046698529257119,3.2756104471307473E-002,1,68.338254393445183,31.000000000000000,53.000000000000000,87.000000000000000,129.00000000000000,203.00000000000000,441.00000000000000,2.1533375244467690E-003,1.0150471721741683,2.3222011722114781,1.0166863384935836,9.9455143448349315,1.0642538968758153,-0.17911912597759280,1.0642538968758153,0.22688405649296689,1.0642538968758153,800000099,800000099,800000099,800000099,800000099,800000199,899999999,899999999,89999,89999,89,89,0,17,0,23,17,27,0,0,0,0,100,6.9736150907518876E-002,3.6567971702663314E-002,4.1940977750236803E-004,3.5788979076798358E-002,8.6098883110069795E-004,557.13451617865655,1.9720527722314886E-003,-1.7911912597759280E-004,0.22688405649296689,0.0000000000000000,395.51774677785255,29.669626815107144,23.985470403088460,100.59862820519342
2015-11-02T143000_AIU-1552.ghg,2015-11-02,15:19,306.638,1,18000,18000,2.8390275872242051E-003,1,1.1870098770591251,1,5.4646390915365730,1,-9.6611674937908731E-002,1,0.12467018874778399,1,0.15078928052771068,-0.44247498940881352,-0.13224347542020601,-1.0094617324537602E-002,-2.7955208938981539E-011,-2.1120175781859971E-012,15.835714111871750,394.06432108176665,406.16577005513841,0.10000000000000001,0,1196.3890751238173,29.771581206108600,30.685125924386128,0.10000000000000001,0,303.71702143859864,301.70850264146594,100801.75816666667,1.1508569155524324,1022.3726518838382,2.4884531148888556E-002,8.0786282308564026E-003,2.1558931503118779E-002,3001.8327228972457,3893.4688969648564,1.8732938223488971E-002,77.099183333333329,891.63617406761068,297.27016862513148,-0.76758878480329584,0.44050837171550394,4.4114652990622054E-002,0.88610736974458282,2.8227179366536037E-014,-1.7653267002353888E-015,0.88610736974458282,1.7436578650896764,299.85090587968926,150.14909412031071,2.8536369249618230,-9999.0,4.9667710428894285E-002,9.9351559601374428E-002,-9.0895304919805859,-0.44006673430812265,0.21721651826879496,2.0311857300596852E-002,1,55.321963547274940,25.000000000000000,44.000000000000000,72.000000000000000,109.00000000000000,175.00000000000000,397.00000000000000,2.7889025831683875E-003,1.0179730207710849,1.4933716816869631,1.0182572559298249,4.8135249156165827,1.0650337986641256,-0.18656683599720497,1.0650337986641256,0.10981568036240444,1.0650337986641256,800000099,800000099,800000099,800000099,800001099,800001199,899999999,899999999,89999,89999,89,89,0,1,0,10,6,3,0,0,0,0,100,0.10210495282919946,9.5968364455349939E-002,6.2980191819943926E-004,3.2188409629897274E-002,5.3195484863543599E-003,1415.2053759911589,1.2692213128492336E-003,-1.8656683599720496E-004,0.10981568036240444,0.0000000000000000,394.03656978607182,29.792214239279410,24.040189270443403,100.16238083351985
2015-11-02T150000_AIU-1552.ghg,2015-11-02,15:49,306.658,1,18000,18000,1.4319018084482445E-002,2,3.4666850424224585,1,3.6311538842380355,1,-0.13289109815707914,1,8.2867605650408321E-002,1,0.85765160204909918,1.6137685482988731,-3.9756332910060956E-002,3.6828275510974312E-002,-2.0205912426612177E-011,-1.5494869321104237E-012,15.795523563354067,393.61850030009862,405.62874581766158,0.10000000000000001,0,1211.2770178606081,30.184567248179729,31.124032706441870,0.0000000000000000,0,303.80167453511558,302.03695259433317,100769.38855555556,1.1490547430306302,1022.6181424042139,2.4919623507339856E-002,5.3698208461464593E-003,2.1827212235832432E-002,3042.4962839776726,3968.2606806048257,1.8995798388389391E-002,76.670776666666669,925.76439662715302,297.49453879760483,-0.42222947263296357,0.35351176963323977,3.5351252120003687E-002,0.55181338317909245,-2.7474516061397902E-014,-1.2792176432499079E-015,0.55181338317909245,2.1793889379230746,309.93776548960165,140.06223451039838,3.6730997421341240,-9999.0,0.11163137109241661,0.23251786124270374,-35.330829391152953,-0.11321557033703894,0.95470617686309123,2.6428585196506336E-002,1,11.132364919874163,5.0000000000000000,9.0000000000000000,16.000000000000000,26.000000000000000,45.000000000000000,121.00000000000000,1.3958714763883537E-002,1.0258120698569719,3.6064610446829324,1.0230537133037343,2.8078781312937129,1.0695202411971352,-0.29901648049752122,1.0695202411971352,6.4079393249751801E-002,1.0695202411971352,800000099,800000099,800000099,800000099,800000099,800010199,899999999,899999999,89999,89999,89,89,0,0,0,36,7,39,0,0,0,0,100,0.39067054810897034,7.3205429762587385E-002,1.1597446138497680E-003,6.4420525487140640E-002,8.6338944992316903E-004,290.77271292638022,3.0692130239093466E-003,-2.9901648049752120E-004,6.4079393249751801E-002,0.0000000000000000,393.59105947452127,29.607047490437782,23.936397853003591,100.59012872674730
2015-11-02T153000_AIU-1552.ghg,2015-11-02,16:19,306.679,1,18000,18000,4.8110316225531040E-003,2,1.6591457947732591,1,4.4222046075423229,1,3.3766435015538665E-002,2,0.10093514157273270,1,0.39097452988812786,0.70928568571177819,3.6233437302799772E-002,1.6189176543465928E-002,-4.9188451976528761E-011,-3.7907954748495195E-012,15.799975957477864,394.02512104755624,406.05423816497648,0.10000000000000001,0,1217.6532286667230,30.366246259525386,31.317233071130278,0.0000000000000000,0,303.91084074317087,302.18678889973955,100743.72594444445,1.1481127253152992,1022.7262275777989,2.4938336748611997E-002,6.5405971739130788E-003,2.1942111556527293E-002,3060.0293915049710,4002.7931966140768,1.9111460985245559E-002,76.447351666666663,942.76380510910576,297.59047360055433,-0.33328513075702376,0.17941206361714199,1.5054703261088098E-002,0.37880642951958909,-8.1126241510584445E-014,-3.1131979003581134E-015,0.37880642951958909,2.4556549820869593,298.29420365656438,151.70579634343565,2.2776756665380966,-9999.0,6.4733164845902039E-002,0.16381356162748842,-14.392696051365403,-0.27791874334902866,0.37518521688107581,2.1827992009670193E-002,1,13.236477918611698,6.0000000000000000,11.000000000000000,18.000000000000000,28.000000000000000,47.000000000000000,117.00000000000000,4.6494032367244351E-003,1.0347632540348422,1.8756456384960143,1.0288442447693702,3.7536951622815171,1.0758578805525703,-7.4258090571489785E-002,1.0758578805525703,8.5676667239585821E-002,1.0758578805525703,800000099,800000099,800000099,800000099,800000099,810010199,899999999,899999999,89999,89999,89,89,13,7,0,37,27,44,0,0,0,0,100,0.23255206974221260,9.4144415750183980E-002,9.3063776258025480E-004,7.9266219454696710E-002,3.5616855073932071E-003,136.61674321217907,1.5973749424106544E-003,-7.4258090571489781E-005,8.5676667239585821E-002,0.0000000000000000,393.99794486406108,29.622042134126030,23.941602935314187,99.979626941045026
2015-11-02T160000_AIU-1552.ghg,2015-11-02,16:49,306.700,1,18000,18000,9.1043750907497424E-003,2,2.6908868084688797,1,4.4634513801433648,1,5.0582080459912651E-002,1,0.10189594089104047,1,0.50807299020045305,0.87007789431183458,-9.3110921173583504E-003,1.9862971081932565E-002,-2.1382475719489767E-011,-1.6604270637380656E-012,15.780952347776045,393.92053143702867,405.98374837671435,0.10000000000000001,0,1225.4483864992494,30.589362987745350,31.554598041158755,0.0000000000000000,0,303.90502417161730,302.38167605590820,100714.05483333333,1.1469369374258531,1022.8592189382349,2.4961771809198986E-002,6.6028569697394223E-003,2.2082580303076190E-002,3081.6051675598724,4048.0994320110285,1.9253526137747029E-002,76.124740000000003,966.49426445115614,297.70787114966885,-0.23819085670658055,0.36590315705390081,2.6715382304433578E-002,0.43741709638775511,-2.9249171105714700E-014,-1.3549547104806462E-015,0.43741709638775511,1.9783976692102661,326.93720321614359,123.06279678385641,3.5015363797829897,-9999.0,8.9095403940925383E-002,0.17218889406866461,-23.133679782446251,-0.17290807332066491,0.60287131622848533,2.5744515626855917E-002,1,10.633404502039475,5.0000000000000000,9.0000000000000000,15.000000000000000,24.000000000000000,41.000000000000000,106.00000000000000,8.8305289499409859E-003,1.0310112952871964,2.8882548465849589,1.0263974622514560,3.6525898278980216,1.0731303061715516,-0.10182445652973000,1.0731303061715516,8.3384817152586083E-002,1.0731303061715516,800000099,800000099,800000099,800000099,800010199,800010199,899999999,899999999,89999,89999,89,89,0,2,0,53,17,35,0,0,0,0,100,0.22806913236385373,0.11517559091223900,1.1330648612364886E-003,3.4910711847693343E-002,4.4081736570814398E-004,218.21367501671946,2.4619549824007139E-003,-1.0182445652973000E-004,8.3384817152586083E-002,0.0000000000000000,393.89327320014092,29.711410542700015,23.986234300666379,100.57732603687711
2015-11-02T163000_AIU-1552.ghg,2015-11-02,17:19,306.721,1,18000,18000,4.3241055320510776E-003,1,1.3175545166478213,1,6.0927126640903966,1,3.3551336807039922E-002,1,0.13911770420179076,1,0.52690598321349813,0.11085523271842000,2.3381213688206125E-002,2.5312084000672676E-003,-1.3934249692849949E-011,-1.0823294851525452E-012,15.783433258788468,394.18330175681984,406.26864214262753,0.10000000000000001,0,1225.9630456952252,30.617810032865137,31.584869569249232,0.0000000000000000,0,304.11856943766276,302.58388836669923,100730.05588888889,1.1463400803859813,1022.8797349748123,2.4974496694965417E-002,9.0148272322760400E-003,2.2091854461946572E-002,3084.9610020269142,4095.5794226552848,1.9271640972815047E-002,75.324164999999994,1010.6184206283706,297.72606622215693,-0.36163702792976454,0.41783477547043069,2.9620476949443638E-002,0.55339372260354891,-7.6545294299172016E-014,-8.8284022014609125E-016,0.55339372260354891,1.8874798612888413,319.12373104689550,130.87626895310450,3.0682309096329434,-9999.0,6.1417396646247915E-002,0.12423596579109705,-15.478651015885307,-0.25842045252489459,0.21625088680339463,1.8295283290261134E-002,1,25.505434861522357,11.000000000000000,20.000000000000000,35.000000000000000,53.000000000000000,89.000000000000000,214.00000000000000,4.2155376816548195E-003,1.0257542118218332,1.6524729138926313,1.0230170203621194,5.3359937239793975,1.0694817434457173,-7.4717357877553667E-002,1.0694817434457173,0.12183919338431547,1.0694817434457173,800000099,800000099,800000099,800000099,800000199,800010199,899999999,899999999,89999,89999,89,89,0,4,0,40,9,60,0,0,0,0,100,0.11882282891064902,0.12896350420840155,6.8559846314351935E-004,2.0889761648493824E-002,5.3597539047570857E-004,220.81692316864749,1.4092767846990272E-003,-7.4717357877553665E-005,0.12183919338431547,0.0000000000000000,394.15615963575573,29.745168635315355,24.007810047679484,100.63303546630013
2015-11-02T170000_AIU-1552.ghg,2015-11-02,17:49,306.742,1,18000,18000,4.4987767107824359E-003,2,2.6080401280972678,1,8.3074490954875220,1,5.4404805859957661E-002,1,0.18965633903933929,1,-0.44345149452272214,-1.8680469329602647,-8.0244990603816388E-002,-4.2646898992297538E-002,-5.9981723407114817E-012,-4.5966455565571474E-013,15.756967002123261,393.28201724575706,405.25195192658811,0.10000000000000001,0,1207.5210287561727,30.138814531496248,31.075389945559387,0.0000000000000000,0,304.16792550489635,302.41379201422797,100734.94433333332,1.1472507049333001,1022.5988563968941,2.4959246103184837E-002,1.2289730769749185E-002,2.1759529311010835E-002,3036.8461874953441,4055.6082106681706,1.8966673297686847E-002,74.880166666666668,1018.7620231728265,297.46352054709575,-0.58765249590826796,0.44980598551218809,3.7324095462332660E-002,0.74098175999944904,5.0507286823469003E-014,-3.8066795087552216E-016,0.74098175999944904,2.4687718257044993,307.43147400808891,142.56852599191112,2.8872755283017879,-9999.0,6.2620719389278351E-002,0.18224565440736179,-8.2878661931865096,-0.48263327456811711,0.31393994692232480,3.5500345590703926E-002,1,32.114078737199293,14.000000000000000,25.000000000000000,42.000000000000000,64.000000000000000,103.00000000000000,236.00000000000000,4.4082114214832003E-003,1.0205446791544230,3.0563492294664001,1.0197743509829276,7.1915614075895347,1.0662787651248111,-0.12757251571240066,1.0662787651248111,0.16418098899707878,1.0662787651248111,800000099,800000099,800000099,800000099,800011099,800011199,899999999,899999999,89999,89999,89,89,0,5,0,31,22,41,0,0,0,0,100,0.27650689276931573,8.7137560862913147E-002,8.4685518249474380E-004,0.11021638675390800,3.4887618764174635E-004,280.29648105851641,2.6051896304420770E-003,-1.2757251571240066E-004,0.16418098899707878,0.0000000000000000,393.25512999131956,29.534764624101996,23.889993917306278,100.62159467591179
2015-11-02T173000_AIU-1552.ghg,2015-11-02,18:19,306.763,1,18000,18000,1.4780690980636672E-002,1,0.15637085282092456,1,6.8915519173827411,1,4.1395111501410592E-002,2,0.15727860143653868,1,-0.90681865660288330,-1.4090589889315785,5.0776647438632853E-002,-3.2157463192253849E-002,-1.1047827844530991E-010,-8.3529859977115681E-012,15.801482420259056,393.85154022601938,405.91396467590204,0.0000000000000000,0,1194.7105191800053,29.778128759615335,30.692081514865613,0.0000000000000000,0,303.99653084903292,302.06641246202258,100757.58322222222,1.1489866719714210,1022.3832327650899,2.4924974110091272E-002,1.0191653373087707E-002,2.1528683924493027E-002,3001.1771048033465,3975.0297014325506,1.8737105007105351E-002,75.500746666666672,973.85259662920407,297.26652939323139,-0.23785762281949108,0.13580441187492842,2.0386058975820347E-002,0.27465374277179638,1.4372820816312529E-014,-6.9916401200222760E-015,0.27465374277179638,1.5633794626059476,299.72413420219704,150.27586579780296,4.2566698825595894,-9999.0,0.11342006012242653,0.14466411293660275,-821.39993369477702,-4.8697349925600980E-003,2.2690223435233258E-002,1.1736462682556648E-003,1,2.9575458501124867,1.0000000000000000,3.0000000000000000,5.0000000000000000,8.0000000000000000,16.000000000000000,54.000000000000000,1.4146400794176714E-002,1.0448375665081580,0.55723633523456151,1.0354956678387788,6.1500266532045735,1.0834467428752328,-2.5404495631732124E-002,1.0834467428752328,0.14035555451213938,1.0834467428752328,800000099,800000099,800000099,800000099,800000099,800011099,899999999,899999999,89999,89999,89,89,1,1,0,37,42,27,0,0,0,0,100,0.23823396339279942,4.9941410842963732E-002,1.1528516374423277E-003,1.3406647793807732E-002,2.8068684257441710E-002,1051.6170556544266,4.7436290277462934E-004,-2.5404495631732124E-005,0.14035555451213938,0.0000000000000000,393.82399905225952,29.714470386081246,23.990988771173662,100.58856033621893
